userid,day_of_registeration,day_of_first_deposit,deposit_date,adkey,Rake,
22195007,"August 15, 2020","August 15, 2020",15-08-2020,Mobile_HPheaderJulySet4_button,4 ,
22853939,"August 27, 2020","August 27, 2020",27-08-2020,Mobile_HPheaderJulySet4_button,4 ,
22910764,"August 28, 2020","August 28, 2020",28-08-2020,Mobile_HPheaderJulySet4_button,4 ,
23077858,"September 1, 2020","September 1, 2020",01-09-2020,Mobile_HPheaderJulySet4_button,4 ,
21578047,"August 4, 2020","August 4, 2020",04-08-2020,Mobile_HPheaderJulySet4_button,3 ,
21698966,"August 6, 2020","August 6, 2020",06-08-2020,Mobile_HPheaderJulySet4_button,3 ,
22301143,"August 16, 2020","August 16, 2020",16-08-2020,Mobile_HPheaderJulySet4_button,3 ,
22825714,"August 27, 2020","August 27, 2020",27-08-2020,Mobile_HPheaderJulySet4_button,3 ,
22879560,"August 28, 2020","August 28, 2020",28-08-2020,Mobile_HPheaderJulySet4_button,2 ,
23019172,"August 31, 2020","August 31, 2020",31-08-2020,Mobile_HPheaderJulySet4_button,2 ,
21364160,"July 31, 2020","July 31, 2020",31-07-2020,Mobile_HPheaderJulySet4_button,1 ,
21570428,"August 4, 2020","August 4, 2020",04-08-2020,Mobile_HPheaderJulySet4_button,1 ,
21872571,"August 9, 2020","August 9, 2020",09-08-2020,Mobile_HPheaderJulySet4_button,1 ,
22116695,"August 13, 2020","August 25, 2020",25-08-2020,Mobile_HPheaderJulySet4_button,1 ,
20921615,"July 25, 2020","July 27, 2020",27-07-2020,Mobile_HPheaderSrini_button,61867 ,
21144716,"July 28, 2020","July 28, 2020",28-07-2020,Mobile_HPheaderSrini_button,59267 ,
22800417,"August 26, 2020","August 26, 2020",26-08-2020,Mobile_HPheaderSrini_button,21271 ,
22977246,"August 30, 2020","August 31, 2020",31-08-2020,Mobile_HPheaderSrini_button,20635 ,
21082631,"July 27, 2020","July 28, 2020",28-07-2020,Mobile_HPheaderSrini_button,17236 ,
22767258,"August 25, 2020","August 31, 2020",31-08-2020,Mobile_HPheaderSrini_button,16358 ,
21089615,"July 27, 2020","July 27, 2020",27-07-2020,Mobile_HPheaderSrini_button,16230 ,
22751979,"August 25, 2020","August 25, 2020",25-08-2020,Mobile_HPheaderSrini_button,15542 ,
21226147,"July 29, 2020","July 30, 2020",30-07-2020,Mobile_HPheaderSrini_button,15249 ,
19206115,"July 1, 2020","August 1, 2020",01-08-2020,Mobile_HPheaderSrini_button,14644 ,
21756483,"August 7, 2020","August 9, 2020",09-08-2020,Mobile_HPheaderSrini_button,11203 ,
21201284,"July 29, 2020","July 29, 2020",29-07-2020,Mobile_HPheaderSrini_button,11157 ,
